k,t,x,y,psi,vx,vy,r,u_delta,u_sfx,x_ref,y_ref,psi_ref,vx_ref,vy_ref,r_ref
44.000000,0.880000,0.000000,2.650000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.268770,2.372675,2.088186,2.771421,0.320922,1.845722
45.000000,0.900000,0.000000,2.710000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.301764,2.417673,2.125101,2.748011,0.321366,1.830151
46.000000,0.920000,0.000000,2.770000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.336158,2.461021,2.161704,2.724682,0.321816,1.814377
47.000000,0.940000,0.000000,2.830000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.371862,2.502689,2.197991,2.701440,0.322203,1.798646
48.000000,0.960000,0.000000,2.890000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.408788,2.542653,2.233964,2.678287,0.322480,1.782996
49.000000,0.980000,0.000000,2.950000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.446846,2.580895,2.269624,2.655225,0.322627,1.767432
50.000000,1.000000,0.000000,3.010000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.485950,2.617400,2.304973,2.632249,0.322642,1.751953
51.000000,1.020000,0.000000,3.070000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.526011,2.652160,2.340012,2.577312,0.338552,1.868262
52.000000,1.040000,0.000000,3.130000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.566730,2.684484,2.377377,2.524960,0.340680,1.859591
53.000000,1.060000,0.000000,3.190000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.607901,2.714509,2.414569,2.473057,0.340002,1.823077
54.000000,1.080000,0.000000,3.250000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.649376,2.742302,2.451030,2.420961,0.339161,1.784361
55.000000,1.100000,0.000000,3.310000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.691022,2.767915,2.486718,2.368665,0.337949,1.745529
56.000000,1.120000,0.000000,3.370000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.732712,2.791408,2.521628,2.316203,0.336176,1.706635
57.000000,1.140000,0.000000,3.430000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.774321,2.812850,2.555761,2.263597,0.333804,1.667702
58.000000,1.160000,0.000000,3.490000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.815736,2.832317,2.589115,2.210863,0.330863,1.628728
59.000000,1.180000,0.000000,3.550000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.856847,2.849890,2.621689,2.158013,0.327403,1.589709
60.000000,1.200000,0.000000,3.610000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.897558,2.865649,2.653484,2.105058,0.323475,1.550642
61.000000,1.220000,0.000000,3.670000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.937776,2.879678,2.684496,2.127727,0.374884,1.857100
62.000000,1.240000,0.000000,3.730000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-0.979271,2.891732,2.721638,2.169901,0.393813,1.889613
63.000000,1.260000,0.000000,3.790000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.022109,2.902234,2.759431,2.215966,0.401055,1.934435
64.000000,1.280000,0.000000,3.850000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.066223,2.911319,2.798119,2.262481,0.405483,1.972265
65.000000,1.300000,0.000000,3.910000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.111561,2.918922,2.837565,2.308401,0.409303,2.011463
66.000000,1.320000,0.000000,3.970000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.158062,2.924932,2.877794,2.353685,0.412586,2.049308
67.000000,1.340000,0.000000,4.030000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.205659,2.929240,2.918780,2.398238,0.415417,2.086599
68.000000,1.360000,0.000000,4.090000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.254274,2.931736,2.960512,2.442023,0.417775,2.123099
69.000000,1.380000,0.000000,4.150000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.303820,2.932313,3.002974,2.484992,0.419649,2.158809
70.000000,1.400000,0.000000,4.210000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.354203,2.930868,3.046150,2.527101,0.421024,2.193686
71.000000,1.420000,0.000000,4.270000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.405318,2.927302,3.090024,2.452783,0.349754,1.846723
72.000000,1.440000,0.000000,4.330000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.454669,2.922845,3.126958,2.367180,0.342558,1.833128
73.000000,1.460000,0.000000,4.390000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.502107,2.916688,3.163621,2.281676,0.336047,1.768259
74.000000,1.480000,0.000000,4.450000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.547582,2.908963,3.198986,2.195194,0.331821,1.701109
75.000000,1.500000,0.000000,4.510000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.591033,2.899819,3.233008,2.107721,0.327598,1.632826
76.000000,1.520000,0.000000,4.570000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.632413,2.889447,3.265665,2.019363,0.322258,1.563842
77.000000,1.540000,0.000000,4.630000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.671692,2.878053,3.296942,1.930258,0.315448,1.494389
78.000000,1.560000,0.000000,4.690000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.708856,2.865847,3.326829,1.840539,0.307215,1.424565
79.000000,1.580000,0.000000,4.750000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.743906,2.853028,3.355321,1.750314,0.297734,1.354428
80.000000,1.600000,0.000000,4.810000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.776852,2.839783,3.382409,1.659674,0.287171,1.284026
81.000000,1.620000,0.000000,4.870000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.807718,2.826289,3.408090,1.700856,0.344681,1.633183
82.000000,1.640000,0.000000,4.930000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.838719,2.810680,3.440753,1.772771,0.348881,1.473815
83.000000,1.660000,0.000000,4.990000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.870543,2.793563,3.470230,1.832842,0.363507,1.745643
84.000000,1.680000,0.000000,5.050000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.902892,2.774851,3.505143,1.903135,0.367584,1.612980
85.000000,1.700000,0.000000,5.110000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.935853,2.754445,3.537402,1.963722,0.381041,1.816409
86.000000,1.720000,0.000000,5.170000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-1.969152,2.732271,3.573730,2.031100,0.385814,1.768915
87.000000,1.740000,0.000000,5.230000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.002808,2.708251,3.609109,2.092903,0.395937,1.886362
88.000000,1.760000,0.000000,5.290000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.036606,2.682318,3.646836,2.157094,0.401402,1.907907
89.000000,1.780000,0.000000,5.350000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.070472,2.654411,3.684994,2.218874,0.408298,1.975790
90.000000,1.800000,0.000000,5.410000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.104235,2.624476,3.724510,2.280460,0.413429,2.023146
91.000000,1.820000,0.000000,5.470000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.137761,2.592467,3.764973,2.231031,0.385929,1.890100
92.000000,1.840000,0.000000,5.530000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.169483,2.560152,3.802775,2.176170,0.380935,1.872612
93.000000,1.860000,0.000000,5.590000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.199156,2.527413,3.840227,2.121852,0.375419,1.818520
94.000000,1.880000,0.000000,5.650000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.226822,2.494369,3.876597,2.066950,0.371031,1.774859
95.000000,1.900000,0.000000,5.710000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.252512,2.461143,3.912095,2.011989,0.365935,1.727150
96.000000,1.920000,0.000000,5.770000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.276289,2.427864,3.946638,1.956844,0.360424,1.680988
97.000000,1.940000,0.000000,5.830000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.298217,2.394656,3.980257,1.901608,0.354335,1.633718
98.000000,1.960000,0.000000,5.890000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.318370,2.361632,4.012932,1.846252,0.347808,1.586899
99.000000,1.980000,0.000000,5.950000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.336819,2.328899,4.044670,1.790815,0.340824,1.539500
100.000000,2.000000,0.000000,6.010000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.353644,2.296554,4.075460,1.735287,0.333461,1.492347
101.000000,2.020000,0.000000,6.070000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.368923,2.264687,4.105307,1.875972,0.321504,1.466029
102.000000,2.040000,0.000000,6.130000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.385046,2.230204,4.134627,2.003008,0.337528,1.636263
103.000000,2.060000,0.000000,6.190000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.401270,2.192959,4.167353,2.131144,0.348556,1.706839
104.000000,2.080000,0.000000,6.250000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.417406,2.152897,4.201489,2.256479,0.359059,1.812053
105.000000,2.100000,0.000000,6.310000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.433209,2.110019,4.237730,2.380052,0.366692,1.905970
106.000000,2.120000,0.000000,6.370000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.448441,2.064329,4.275850,2.501066,0.371893,1.998666
107.000000,2.140000,0.000000,6.430000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.462850,2.015854,4.315823,2.619149,0.374354,2.088483
108.000000,2.160000,0.000000,6.490000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.476177,1.964644,4.357593,2.733845,0.373859,2.175155
109.000000,2.180000,0.000000,6.550000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.488160,1.910775,4.401096,2.844683,0.370175,2.258372
110.000000,2.200000,0.000000,6.610000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.498539,1.854348,4.446263,2.951182,0.363067,2.337833
111.000000,2.220000,0.000000,6.670000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.507056,1.795493,4.493020,2.991767,0.363470,2.368459
112.000000,2.240000,0.000000,6.730000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.512982,1.735509,4.540389,3.031844,0.361288,2.398839
113.000000,2.260000,0.000000,6.790000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.516241,1.674531,4.588366,3.070926,0.357022,2.428421
114.000000,2.280000,0.000000,6.850000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.516753,1.612700,4.636934,3.108667,0.351001,2.456909
115.000000,2.300000,0.000000,6.910000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.514440,1.550175,4.686073,3.144810,0.343428,2.484135
116.000000,2.320000,0.000000,6.970000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.509229,1.487120,4.735755,3.179166,0.334429,2.510007
117.000000,2.340000,0.000000,7.030000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.501056,1.423710,4.785955,3.211586,0.324077,2.534475
118.000000,2.360000,0.000000,7.090000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.489871,1.360128,4.836645,3.241950,0.312412,2.557519
119.000000,2.380000,0.000000,7.150000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.475635,1.296564,4.887795,3.270159,0.299457,2.579142
120.000000,2.400000,0.000000,7.210000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.458325,1.233209,4.939378,3.296132,0.285222,2.599367
121.000000,2.420000,0.000000,7.270000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.437931,1.170261,4.991365,3.295596,0.070250,1.291538
122.000000,2.440000,0.000000,7.330000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.418430,1.107285,5.017196,3.274771,-0.067872,0.037855
123.000000,2.460000,0.000000,7.390000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.400069,1.044401,5.017953,3.242632,-0.085763,-0.437319
124.000000,2.480000,0.000000,7.450000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.382195,0.982036,5.009207,3.211999,-0.055062,-0.303318
125.000000,2.500000,0.000000,7.510000,1.570796,3.000000,0.000000,0.000000,0.000000,0.000000,-2.364459,0.920283,5.003141,3.180015,-0.057985,-0.350462
