node_id,parent,children,success,cost_from_parent,cum_cost,time_from_parent,cum_time,dist_to_goal,x,y,psi,vx,vy,r,u_delta,u_sfx
8350.000000,4131.000000,2.000000,2.000000,0.220137,1.545839,0.200000,1.400000,3.582782,-1.232046,3.153808,2.733332,1.359126,-0.005821,-0.498106,0.038207,0.004481
8351.000000,5481.000000,0.000000,0.000000,0.204901,0.868797,0.200000,0.800000,2.458198,-0.299990,2.024976,1.667597,2.705589,0.244812,1.393374,0.201176,0.081527
8352.000000,7987.000000,0.000000,0.000000,0.218541,2.205621,0.200000,2.000000,3.665022,-2.521644,2.447534,3.568368,2.591854,-0.345166,-1.830409,-0.276729,0.000607
8353.000000,7292.000000,0.000000,0.000000,0.218059,3.083502,0.200000,2.800000,1.930283,-1.825619,0.032685,5.152227,2.535358,-0.392753,-2.084989,-0.321593,-0.000210
8354.000000,7653.000000,0.000000,0.000000,0.232777,1.777007,0.200000,1.600000,4.082711,-2.013593,3.351045,2.756807,0.563463,-0.037219,-0.732469,-0.023200,-0.084845
8355.000000,6319.000000,0.000000,0.000000,0.223919,3.100254,0.200000,2.800000,2.515408,-2.431754,0.043888,4.695419,0.613546,0.004838,-0.446235,0.131096,-0.067877
8356.000000,8100.000000,0.000000,0.000000,0.226589,2.432761,0.200000,2.200000,3.115215,-2.546988,1.609033,4.616087,2.068441,0.151435,0.820736,0.157586,-0.072671
8357.000000,5706.000000,0.000000,0.000000,0.213516,2.638626,0.200000,2.400000,2.483119,-2.241868,0.741147,4.965817,3.123277,-0.156127,-0.913586,-0.115512,0.033070
8358.000000,273.000000,0.000000,0.000000,0.234986,0.889990,0.200000,0.800000,2.137605,-0.099455,2.084710,1.323913,1.031753,0.142612,0.850269,0.209921,-0.055639
8359.000000,730.000000,0.000000,0.000000,0.217063,0.433817,0.200000,0.400000,1.868515,-0.339761,1.262837,1.759507,3.041222,-0.353989,-2.264693,-0.295803,0.017322
8360.000000,410.000000,0.000000,-1.000000,0.214824,0.433983,0.200000,0.400000,1.784186,-0.298396,1.165090,1.757614,2.811124,-0.359680,-2.028684,-0.282735,0.022441
8361.000000,7990.000000,0.000000,0.000000,0.218360,3.084058,0.200000,2.800000,1.748890,-1.618458,0.374688,5.322549,0.748732,-0.038841,0.194312,-0.233937,-0.047821
8362.000000,8061.000000,1.000000,1.000000,0.220693,3.538280,0.200000,3.200000,1.569118,-1.410268,-0.496430,5.236844,0.997557,0.151037,1.313332,0.270302,-0.018223
8363.000000,8100.000000,0.000000,0.000000,0.227695,2.433868,0.200000,2.200000,3.130093,-2.560172,1.613996,4.567885,2.026934,0.121809,0.639253,0.125915,-0.073177
8364.000000,8350.000000,0.000000,0.000000,0.217075,1.762914,0.200000,1.600000,3.829469,-1.453185,3.327289,2.504028,1.230450,-0.203581,-0.597020,-0.342610,-0.003536
8365.000000,7523.000000,0.000000,0.000000,0.218686,1.980909,0.200000,1.800000,3.702477,-2.483119,2.528782,3.830736,3.474281,0.247720,1.835369,0.207671,0.022292
8366.000000,7523.000000,0.000000,0.000000,0.220524,1.982747,0.200000,1.800000,3.713530,-2.455305,2.582954,3.739620,2.950763,0.219022,1.258603,0.167755,-0.001415
8367.000000,7786.000000,0.000000,-9.000000,0.217936,2.858871,0.200000,2.600000,1.492375,-1.327576,0.255166,5.936690,3.369368,0.253417,2.635848,0.337338,0.024015
8368.000000,499.000000,0.000000,0.000000,0.222674,0.669635,0.200000,0.600000,1.811785,-0.377077,1.278886,1.992770,1.084552,0.159784,1.288942,0.249132,-0.029483
8369.000000,6111.000000,0.000000,0.000000,0.225602,0.889752,0.200000,0.800000,2.314857,-0.355924,2.235598,1.467804,1.432980,-0.134767,-0.624434,-0.158864,-0.036923
